RNCMPT00787 RNCMPT00033 0.2818
RNCMPT00014 RNCMPT00132 0.7744
RNCMPT00421 RNCMPT00032 0.8861
RNCMPT00160 RNCMPT00150 0.8227
RNCMPT00291 RNCMPT00001 0.9401
RNCMPT00471 RNCMPT00139 0.8313
RNCMPT00168 RNCMPT00818 0.9768
RNCMPT00691 RNCMPT00132 -0.0653
RNCMPT00476 RNCMPT00238 0.9786
RNCMPT00164 RNCMPT00037 0.6443
RNCMPT00225 RNCMPT00425 0.0511
RNCMPT00029 RNCMPT00096 0.9112
RNCMPT00692 RNCMPT00467 0.4559
RNCMPT00159 RNCMPT00025 0.8901
RNCMPT00288 RNCMPT00289 0.6385
RNCMPT00789 RNCMPT00758 -0.103
RNCMPT00432 RNCMPT00072 0.1007
RNCMPT00423 RNCMPT00469 0.4548
RNCMPT00140 RNCMPT00414 -0.1037
RNCMPT01677 RNCMPT00285 0.9407
RNCMPT00008 RNCMPT00156 0.7023
RNCMPT00006 RNCMPT00018 -0.1914
RNCMPT00182 RNCMPT00152 0.5307
RNCMPT00161 RNCMPT00020 0.8737
RNCMPT00615 RNCMPT00343 -0.0307
RNCMPT00199 RNCMPT00862 0.6687
RNCMPT00024 RNCMPT00022 0.9672
RNCMPT00181 RNCMPT00133 0.8238
RNCMPT00232 RNCMPT00224 -0.0286
RNCMPT00071 RNCMPT00425 0.6122
RNCMPT00503 RNCMPT00433 0.9802
RNCMPT01685 RNCMPT00228 0.716
RNCMPT00021 RNCMPT00138 0.8306
RNCMPT00763 RNCMPT00217 0.4452
RNCMPT00684 RNCMPT00677 0.8803
RNCMPT00056 RNCMPT00018 0.405
RNCMPT00776 RNCMPT00146 0.836
RNCMPT00256 RNCMPT00165 0.9137
RNCMPT00132 RNCMPT00120 0.9692
RNCMPT00075 RNCMPT00382 -0.401
RNCMPT00788 RNCMPT00268 0.8277
RNCMPT00081 RNCMPT00166 0.8582
RNCMPT00688 RNCMPT00139 0.7905
RNCMPT00466 RNCMPT00685 0.2008
RNCMPT00133 RNCMPT00757 0.6752
RNCMPT00248 RNCMPT00350 0.5272
RNCMPT00725 RNCMPT00482 0.3538
RNCMPT00259 RNCMPT00119 0.0839
RNCMPT00217 RNCMPT00763 0.4452
RNCMPT00054 RNCMPT00280 0.8706
RNCMPT00683 RNCMPT01664 0.9079
RNCMPT00119 RNCMPT00814 0.4907
RNCMPT00372 RNCMPT00050 -0.0087
RNCMPT00392 RNCMPT00790 0.3664
RNCMPT00169 RNCMPT00062 0.5219
RNCMPT00138 RNCMPT00021 0.8306
RNCMPT00003 RNCMPT00183 0.7057
RNCMPT00403 RNCMPT00392 0.4567
RNCMPT00306 RNCMPT00268 0.7802
RNCMPT00774 RNCMPT00064 0.1976
RNCMPT00422 RNCMPT00707 0.7741
RNCMPT00185 RNCMPT00034 0.9252
RNCMPT00058 RNCMPT00127 0.6358
RNCMPT00828 RNCMPT00819 0.6812
RNCMPT00061 RNCMPT00058 0.1842
RNCMPT00016 RNCMPT00474 0.7525
RNCMPT00790 RNCMPT00392 0.3664
RNCMPT00794 RNCMPT00158 0.5401
RNCMPT00149 RNCMPT00078 0.3768
RNCMPT00478 RNCMPT00360 0.6197
RNCMPT00511 RNCMPT00043 0.6575
RNCMPT00215 RNCMPT00246 0.9645
RNCMPT00224 RNCMPT00232 -0.0286
RNCMPT00272 RNCMPT00029 0.8805
RNCMPT00235 RNCMPT00268 0.4462
RNCMPT00197 RNCMPT00240 -0.0968
RNCMPT00698 RNCMPT00241 0.8787
RNCMPT00167 RNCMPT00025 0.9772
RNCMPT00344 RNCMPT00131 0.587
RNCMPT00510 RNCMPT00071 0.8396
RNCMPT01672 RNCMPT00165 0.8887
RNCMPT00685 RNCMPT00466 0.2008
RNCMPT00325 RNCMPT00741 0.5604
RNCMPT00743 RNCMPT00007 0.2516
