RNCMPT00155 RNCMPT00153 93.25
RNCMPT00246 RNCMPT00044 88.25
RNCMPT00514 RNCMPT00248 38.28
RNCMPT00059 RNCMPT00287 23.14
RNCMPT00716 RNCMPT00252 65.0
RNCMPT00239 RNCMPT00186 100.0
RNCMPT00183 RNCMPT00003 56.91
RNCMPT00153 RNCMPT00155 93.25
RNCMPT00712 RNCMPT00735 47.31
RNCMPT00126 RNCMPT00012 80.56
RNCMPT00228 RNCMPT00464 70.88
RNCMPT00380 RNCMPT00157 50.44
RNCMPT00067 RNCMPT00163 65.44
RNCMPT00263 RNCMPT00862 38.44
RNCMPT00172 RNCMPT00033 68.0
RNCMPT00364 RNCMPT00283 18.11
RNCMPT00032 RNCMPT00132 62.25
RNCMPT00475 RNCMPT00326 43.88
RNCMPT00218 RNCMPT00790 28.08
RNCMPT01660 RNCMPT00830 59.62
RNCMPT00072 RNCMPT00366 46.47
RNCMPT00287 RNCMPT00678 53.53
RNCMPT00820 RNCMPT00760 68.5
RNCMPT00144 RNCMPT00127 32.34
RNCMPT00814 RNCMPT00119 39.44
RNCMPT00816 RNCMPT00076 37.88
RNCMPT00326 RNCMPT00475 43.88
RNCMPT00249 RNCMPT00830 47.12
RNCMPT00122 RNCMPT00187 53.56
RNCMPT00051 RNCMPT01687 85.44
RNCMPT00050 RNCMPT00368 34.53
RNCMPT01669 RNCMPT00078 29.81
RNCMPT01673 RNCMPT00169 86.19
RNCMPT00255 RNCMPT00139 39.69
RNCMPT00240 RNCMPT00197 30.59
RNCMPT00066 RNCMPT00163 60.56
RNCMPT00080 RNCMPT00079 73.25
RNCMPT00760 RNCMPT00820 68.5
RNCMPT00469 RNCMPT00324 42.12
RNCMPT00206 RNCMPT00306 25.86
RNCMPT00285 RNCMPT00184 95.12
RNCMPT00434 RNCMPT00158 41.38
RNCMPT00678 RNCMPT00287 53.53
RNCMPT00187 RNCMPT00166 80.38
RNCMPT00062 RNCMPT00169 100.0
RNCMPT00027 RNCMPT00178 59.72
RNCMPT00396 RNCMPT00072 25.44
RNCMPT00464 RNCMPT00228 70.88
RNCMPT00681 RNCMPT00346 38.22
RNCMPT00360 RNCMPT00478 49.19
RNCMPT01680 RNCMPT00419 89.38
RNCMPT00282 RNCMPT00151 91.19
RNCMPT00070 RNCMPT00143 72.81
RNCMPT00219 RNCMPT00761 53.19
RNCMPT00280 RNCMPT00279 92.94
RNCMPT00223 RNCMPT00790 23.08
RNCMPT00143 RNCMPT00070 72.81
RNCMPT00331 RNCMPT00022 37.16
RNCMPT00134 RNCMPT00801 51.47
RNCMPT00414 RNCMPT00171 21.45
RNCMPT00343 RNCMPT00262 39.28
RNCMPT01671 RNCMPT00079 82.06
