# Schizosaccharomyces_pombe Neurospora_crassa Trichoderma_virens Aspergillus_nidulans Saccharomyces_cerevisiae Lepisosteus_oculatus Tetraodon_nigroviridis Gadus_morhua Danio_rerio Latimeria_chalumnae Xenopus_tropicalis Gallus_gallus Tyto_alba Geospiza_fortis Monodelphis_domestica Canis_familiaris Mus_musculus Macaca_mulatta Homo_sapiens Apis_mellifera Aedes_aegypti Anopheles_gambiae Musca_domestica Drosophila_melanogaster Drosophila_ananassae Trichuris_suis Ascaris_suum Caenorhabditis_elegans Caenorhabditis_briggsae Pristionchus_pacificus Ostreococcus_tauri Micromonas_pusilla Physcomitrella_patens Selaginella_moellendorffii Oryza_sativa Zea_mays Arabidopsis_thaliana Arabidopsis_lyrata Cannabis_sativa Aquilegia_coerulea Amborella_trichopoda Naegleria_gruberi Trichomonas_vaginalis Trypanosoma_brucei Leishmania_major Plasmodium_vivax Plasmodium_falciparum Pythium_ultimum Phytophthora_ramorum Albugo_laibachii Aureococcus_anophagefferens Phaeodactylum_tricornutum Thalassiosira_pseudonana
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746200000331e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 0.000000000000000000e+00 3.517584832150000125e+02 3.517584832150000125e+02 3.517584832150000125e+02 3.517584832200000164e+02 3.517584832200000164e+02 3.517584832200000164e+02 3.517584832200000164e+02 3.517584832200000164e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 4.353240746149999723e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.129886405850000415e+02 3.517584832150000125e+02 0.000000000000000000e+00 9.804286928999999873e+01 9.804286928999999873e+01 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03
1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 4.353240746149999723e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.129886405850000415e+02 3.517584832150000125e+02 9.804286928999999873e+01 0.000000000000000000e+00 8.245491769999999576e+01 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03
1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 1.105059155554999961e+03 4.353240746149999723e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.353240746200000331e+02 4.129886405850000415e+02 3.517584832150000125e+02 9.804286928999999873e+01 8.245491769999999576e+01 0.000000000000000000e+00 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899994999974e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.659999999995000053e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03 1.768417839995000122e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746200000331e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 3.517584832200000164e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 0.000000000000000000e+00 1.585975875800000097e+02 1.585975875800000097e+02 1.585975875800000097e+02 1.585975875800000097e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746199999194e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 3.517584832200000164e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 1.585975875800000097e+02 0.000000000000000000e+00 9.646238917000000868e+01 9.646238917000000868e+01 9.646238917000000868e+01 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746199999194e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 3.517584832200000164e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 1.585975875800000097e+02 9.646238917000000868e+01 0.000000000000000000e+00 8.982318741999999645e+01 8.982318741999999645e+01 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746199999194e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 3.517584832200000164e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 1.585975875800000097e+02 9.646238917000000868e+01 8.982318741999999645e+01 0.000000000000000000e+00 2.944154681999999923e+01 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 4.353240746199999194e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.353240746249999802e+02 4.129886405899999886e+02 3.517584832200000164e+02 3.119039213649999738e+02 3.119039213649999738e+02 3.119039213649999738e+02 1.585975875800000097e+02 9.646238917000000868e+01 8.982318741999999645e+01 2.944154681999999923e+01 0.000000000000000000e+00 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 1.105059155559999908e+03 7.965556478299999981e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478349999452e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478250000509e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 7.965556478299999981e+02 0.000000000000000000e+00 3.250569865600000412e+02 3.250569865600000412e+02 3.250569865600000412e+02 3.250569865600000412e+02 3.250569865600000412e+02 7.430000000000000000e+02 7.430000000000000000e+02 7.430000000000001137e+02 7.430000000000001137e+02 7.430000000000000000e+02 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763899999999921e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.495763900004999869e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.660000000000000000e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03 1.768417840000000069e+03
